index,TID,breadcrumb,category_name,property_type,building_size,land_size,preferred_size,open_date,listing_agency,price,location_number,location_type,location_name,address,address_1,city,state,zip_code,phone,latitude,longitude,product_depth,bedroom_count,bathroom_count,parking_count,RunDate
0,1350988,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,Added 2 hours ago,Professionals - DARWIN CITY,"$435,000",139468611,Buy,"$435,000","44 Woods Street, Darwin City, NT 0800",44 Woods Street,Darwin City,NT,800,08 8941 8289,,,premiere,2.0,1.0,1.0,2022-05-27 15:54:05
1,1350989,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,171m²,,171m²,Added 7 hours ago,Nick Mousellis Real Estate - Eview Group Member,"Offers Over $320,000",139463755,Buy,"Offers Over $320,000","14/14 Dashwood Place, Darwin City, NT 0800",14/14 Dashwood Place,Darwin City,NT,800,0411724000,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
2,1350990,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Added 22 hours ago,Habitat Real Estate - THE GARDENS,"$310,000",139462495,Buy,"$310,000","13/86  Woods Street, Darwin City, NT 0800",13/86  Woods Street,Darwin City,NT,800,08 8981 0080,,,premiere,2.0,1.0,1.0,2022-05-27 15:54:05
3,1350991,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,Added yesterday,Ray White - NIGHTCLIFF,"$259,000",139451679,Buy,"$259,000","1309/43B Knuckey Street, Darwin City, NT 0800",1309/43B Knuckey Street,Darwin City,NT,800,08 8982 2403,,,premiere,1.0,1.0,0.0,2022-05-27 15:54:05
4,1350992,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,201m²,,201m²,Added yesterday,Carol Need Real Estate - Fannie Bay,"$439,000",139433803,Buy,"$439,000","3/10 McLachlan Street, Darwin City, NT 0800",3/10 McLachlan Street,Darwin City,NT,800,0418885966,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
5,1350993,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,218m²,,218m²,Added 2 days ago,iProperty NT - Darwin,"$825,000",139434039,Buy,"$825,000","1832/27 Woods  Street, Darwin City, NT 0800",1832/27 Woods  Street,Darwin City,NT,800,0404 877 261,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
6,1350994,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Added 2 days ago,Nicole Wheeler@realty - LARRAKEYAH,"$820,000",139433055,Buy,"$820,000","10/99 Gardens Road, Darwin City, NT 0800",10/99 Gardens Road,Darwin City,NT,800,0417508800,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
7,1350995,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,105m²,105m²,Added 3 days ago,Property Shop - Darwin,$369 000,139419411,Buy,$369 000,"10/94 Woods Street, Darwin City, NT 0800",10/94 Woods Street,Darwin City,NT,800,08 8981 5000,,,premiere,2.0,1.0,1.0,2022-05-27 15:54:05
8,1350996,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Added 6 days ago,Real Estate Central Projects - Darwin,"$439,000",139407883,Buy,"$439,000","103/39 Cavenagh Street, Darwin City, NT 0800",103/39 Cavenagh Street,Darwin City,NT,800,08 8943 3000,,,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
9,1350997,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Real Estate Central - DARWIN CITY,"$455,000",139395811,Buy,"$455,000","10/39 Cavenagh Street, Darwin City, NT 0800",10/39 Cavenagh Street,Darwin City,NT,800,08 8943 3000,,,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
