Date,Price
1/12/2020,"1,442.70"
1/11/2020,"1,455.70"
1/10/2020,"1,285.40"
1/9/2020,"1,290.20"
1/8/2020,"1,310.80"
1/7/2020,"1,217.20"
1/6/2020,"1,209.40"
1/5/2020,"1,243.40"
1/4/2020,"1,162.40"
1/3/2020,"1,022.00"
1/2/2020,"1,579.40"
1/1/2020,"1,667.70"
1/12/2019,"1,568.00"
1/11/2019,"1,667.40"
1/10/2019,"1,629.80"
1/9/2019,"1,609.80"
1/8/2019,"1,655.70"
1/7/2019,"1,644.20"
1/6/2019,"1,604.80"
1/5/2019,"1,564.70"
1/4/2019,"1,526.90"
1/3/2019,"1,567.00"
1/2/2019,"1,477.90"
1/1/2019,"1,460.10"
1/12/2018,"1,375.30"
1/11/2018,"1,376.80"
1/10/2018,"1,382.90"
1/9/2018,"1,427.40"
1/8/2018,"1,453.50"
1/7/2018,"1,422.50"
1/6/2018,"1,409.40"
1/5/2018,"1,403.00"
1/4/2018,"1,361.10"
1/3/2018,"1,302.90"
1/2/2018,"1,302.80"
1/1/2018,"1,358.10"
1/12/2017,"1,404.90"
1/11/2017,"1,422.80"
1/10/2017,"1,351.60"
1/9/2017,"1,321.90"
1/8/2017,"1,315.90"
1/7/2017,"1,309.90"
1/6/2017,"1,311.40"
1/5/2017,"1,400.10"
1/4/2017,"1,415.60"
1/3/2017,"1,379.60"
1/2/2017,"1,371.60"
1/1/2017,"1,327.30"
1/12/2016,"1,395.40"
1/11/2016,"1,326.40"
1/10/2016,"1,315.30"
1/9/2016,"1,427.40"
1/8/2016,"1,492.70"
1/7/2016,"1,546.40"
1/6/2016,"1,467.20"
1/5/2016,"1,437.10"
1/4/2016,"1,400.20"
1/3/2016,"1,362.00"
1/2/2016,"1,330.50"
1/1/2016,"1,304.60"
1/12/2015,"1,291.20"
1/11/2015,"1,261.10"
1/10/2015,"1,299.20"
1/9/2015,"1,237.80"
1/8/2015,"1,241.50"
1/7/2015,"1,305.70"
1/6/2015,"1,235.50"
1/5/2015,"1,309.40"
1/4/2015,"1,272.30"
1/3/2015,"1,286.30"
1/2/2015,"1,313.90"
1/1/2015,"1,277.30"
1/12/2014,"1,186.20"
1/11/2014,"1,152.60"
1/10/2014,"1,153.40"
1/9/2014,"1,080.20"
1/8/2014,"1,141.60"
1/7/2014,"1,122.80"
1/6/2014,"1,069.70"
1/5/2014,"1,063.20"
1/4/2014,"1,062.70"
1/3/2014,"1,005.30"
1/2/2014,"1,021.90"
1/1/2014,989.2
1/12/2013,984.9
1/11/2013,"1,016.60"
1/10/2013,"1,045.50"
1/9/2013,"1,018.60"
1/8/2013,"1,008.80"
1/7/2013,"1,021.40"
1/6/2013,"1,029.80"
1/5/2013,"1,055.20"
1/4/2013,"1,097.00"
1/3/2013,"1,013.40"
1/2/2013,"1,041.30"
1/1/2013,"1,015.50"
1/12/2012,973.8
1/11/2012,961.4
1/10/2012,974.5
1/9/2012,926.4
1/8/2012,914.4
1/7/2012,926.2
1/6/2012,877.1
1/5/2012,853.3
1/4/2012,865.2
1/3/2012,820.1
1/2/2012,826.7
1/1/2012,819.4
1/12/2011,777.5
1/11/2011,811.7
1/10/2011,790.9
1/9/2011,762.8
1/8/2011,800.1
1/7/2011,787.1
1/6/2011,842.8
1/5/2011,861.7
1/4/2011,862.7
1/3/2011,860.9
1/2/2011,879.1
1/1/2011,859.9
1/12/2010,839.8
1/11/2010,841.8
1/10/2010,859.4
1/9/2010,864.2
1/8/2010,873.6
1/7/2010,851.8
1/6/2010,843.53
1/5/2010,862.44
1/4/2010,899.85
1/3/2010,867.6
1/2/2010,869.51
1/1/2010,871.32
1/12/2009,897.3
1/11/2009,879.53
1/10/2009,871.9
1/9/2009,958.5
1/8/2009,875.3
1/7/2009,767
1/6/2009,749
1/5/2009,729.4
1/4/2009,703.8
1/3/2009,663.5
1/2/2009,666.8
1/1/2009,812
1/12/2008,899.5
1/11/2008,"1,025.40"
1/10/2008,"1,022.90"
1/9/2008,"1,369.20"
1/8/2008,"1,459.20"
1/7/2008,"1,340.50"
1/6/2008,"1,410.60"
1/5/2008,"1,612.80"
1/4/2008,"1,776.10"
1/3/2008,"1,703.50"
1/2/2008,"1,708.00"
1/1/2008,"1,817.20"
1/12/2007,"2,111.20"
1/11/2007,"2,293.70"
1/10/2007,"2,449.10"
1/9/2007,"2,464.70"
1/8/2007,"2,417.80"
1/7/2007,"2,251.10"
1/6/2007,"2,364.10"
1/5/2007,"2,523.10"
1/4/2007,"2,425.00"
1/3/2007,"2,342.30"
1/2/2007,"2,452.70"
1/1/2007,"2,488.70"
1/12/2006,"2,431.00"
1/11/2006,"2,299.60"
1/10/2006,"2,183.80"
1/9/2006,"2,167.90"
