Date,Price
4/9/2020,"1,290.20"
3/9/2020,"1,327.10"
2/9/2020,"1,305.70"
1/9/2020,"1,278.10"
31/08/2020,"1,310.80"
28/08/2020,"1,292.50"
27/08/2020,"1,281.20"
26/08/2020,"1,286.50"
25/08/2020,"1,284.60"
24/08/2020,"1,269.30"
21/08/2020,"1,275.50"
20/08/2020,"1,257.00"
19/08/2020,"1,245.10"
18/08/2020,"1,262.30"
17/08/2020,"1,259.40"
14/08/2020,"1,266.10"
13/08/2020,"1,266.40"
12/8/2020,"1,266.60"
11/8/2020,"1,266.10"
10/8/2020,"1,240.50"
7/8/2020,"1,224.50"
6/8/2020,"1,222.20"
5/8/2020,"1,229.40"
4/8/2020,"1,236.00"
3/8/2020,"1,208.70"
31/07/2020,"1,217.20"
30/07/2020,"1,224.60"
29/07/2020,"1,228.10"
28/07/2020,"1,227.30"
27/07/2020,"1,238.40"
24/07/2020,"1,227.40"
23/07/2020,"1,250.30"
22/07/2020,"1,226.10"
21/07/2020,"1,238.50"
20/07/2020,"1,215.30"
17/07/2020,"1,219.70"
16/07/2020,"1,216.90"
15/07/2020,"1,234.30"
14/07/2020,"1,215.30"
13/07/2020,"1,224.40"
10/7/2020,"1,201.00"
9/7/2020,"1,199.70"
8/7/2020,"1,205.70"
7/7/2020,"1,235.90"
6/7/2020,"1,257.30"
3/7/2020,"1,264.90"
2/7/2020,"1,277.40"
1/7/2020,"1,240.00"
30/06/2020,"1,209.40"
29/06/2020,"1,215.10"
26/06/2020,"1,250.70"
25/06/2020,"1,232.50"
24/06/2020,"1,280.70"
23/06/2020,"1,273.60"
22/06/2020,"1,256.90"
19/06/2020,"1,275.80"
18/06/2020,"1,283.20"
17/06/2020,"1,304.80"
16/06/2020,"1,271.70"
15/06/2020,"1,225.30"
12/6/2020,"1,252.70"
11/6/2020,"1,275.60"
10/6/2020,"1,318.00"
9/6/2020,"1,351.60"
5/6/2020,"1,301.30"
4/6/2020,"1,294.60"
3/6/2020,"1,275.40"
2/6/2020,"1,237.40"
1/6/2020,"1,237.30"
29/05/2020,"1,243.40"
28/05/2020,"1,264.70"
27/05/2020,"1,276.20"
26/05/2020,"1,260.70"
25/05/2020,"1,205.80"
22/05/2020,"1,174.20"
21/05/2020,"1,182.50"
20/05/2020,"1,182.30"
19/05/2020,"1,179.40"
18/05/2020,"1,137.40"
15/05/2020,"1,125.20"
14/05/2020,"1,120.00"
13/05/2020,"1,131.90"
12/5/2020,"1,156.80"
11/5/2020,"1,179.20"
8/5/2020,"1,147.90"
7/5/2020,"1,126.80"
6/5/2020,"1,119.40"
5/5/2020,"1,128.60"
4/5/2020,"1,100.40"
1/5/2020,"1,093.10"
30/04/2020,"1,162.40"
29/04/2020,"1,114.30"
28/04/2020,"1,108.10"
27/04/2020,"1,116.30"
24/04/2020,"1,082.50"
23/04/2020,"1,081.70"
22/04/2020,"1,093.10"
21/04/2020,"1,094.30"
20/04/2020,"1,135.10"
17/04/2020,"1,173.40"
16/04/2020,"1,129.30"
15/04/2020,"1,147.00"
14/04/2020,"1,146.00"
9/4/2020,"1,166.90"
8/4/2020,"1,104.40"
7/4/2020,"1,070.90"
6/4/2020,"1,056.20"
3/4/2020,"1,005.60"
2/4/2020,"1,038.90"
1/4/2020,"1,075.50"
31/03/2020,"1,022.00"
30/03/2020,993.8
27/03/2020,959
26/03/2020,"1,050.20"
25/03/2020,"1,011.30"
24/03/2020,943.5
23/03/2020,877.4
20/03/2020,988.2
19/03/2020,907.1
18/03/2020,"1,065.10"
17/03/2020,"1,187.60"
16/03/2020,"1,216.40"
13/03/2020,"1,362.70"
12/3/2020,"1,375.60"
11/3/2020,"1,478.90"
10/3/2020,"1,490.00"
9/3/2020,"1,507.30"
6/3/2020,"1,579.40"
5/3/2020,"1,617.80"
4/3/2020,"1,576.20"
3/3/2020,"1,592.80"
2/3/2020,"1,562.60"
