Date,Price
3/18/2019,1.4071
3/15/2019,1.41
3/14/2019,1.4154
3/13/2019,1.4094
3/12/2019,1.412
3/11/2019,1.4142
3/8/2019,1.4184
3/7/2019,1.4249
3/6/2019,1.4219
3/5/2019,1.4112
3/4/2019,1.4098
3/1/2019,1.4114
2/28/2019,1.4092
2/27/2019,1.4004
2/26/2019,1.3906
2/25/2019,1.3947
2/22/2019,1.4029
2/21/2019,1.41
2/20/2019,1.3959
2/19/2019,1.3956
2/18/2019,1.4023
2/15/2019,1.3993
2/14/2019,1.4074
2/13/2019,1.4105
2/12/2019,1.4095
2/11/2019,1.4161
2/8/2019,1.4108
2/7/2019,1.4082
2/6/2019,1.4077
2/5/2019,1.3822
2/4/2019,1.3839
2/1/2019,1.3795
1/31/2019,1.3744
1/30/2019,1.3799
1/29/2019,1.3975
1/28/2019,1.3955
1/25/2019,1.3926
1/24/2019,1.4094
1/23/2019,1.4002
1/22/2019,1.4039
1/21/2019,1.3969
1/18/2019,1.3951
1/17/2019,1.3901
1/16/2019,1.3951
1/15/2019,1.3886
1/14/2019,1.3897
1/11/2019,1.3864
1/10/2019,1.3917
1/9/2019,1.3945
1/8/2019,1.4003
1/7/2019,1.399
1/4/2019,1.4046
1/3/2019,1.4276
1/2/2019,1.4316
1/1/2019,1.4178
12/31/2018,1.4181
12/28/2018,1.4198
12/27/2018,1.4214
12/26/2018,1.4149
12/25/2018,1.421
12/24/2018,1.416
12/21/2018,1.4219
12/20/2018,1.4066
12/19/2018,1.4069
12/18/2018,1.3923
12/17/2018,1.3926
12/14/2018,1.3934
12/13/2018,1.3837
12/12/2018,1.3847
12/11/2018,1.3877
12/10/2018,1.3907
12/7/2018,1.3889
12/6/2018,1.382
12/5/2018,1.3757
12/4/2018,1.3626
12/3/2018,1.3592
11/30/2018,1.3666
11/29/2018,1.3663
11/28/2018,1.3688
11/27/2018,1.3843
11/26/2018,1.3848
11/23/2018,1.3819
11/22/2018,1.3784
11/21/2018,1.3769
11/20/2018,1.3862
11/19/2018,1.3709
11/16/2018,1.3631
11/15/2018,1.3743
11/14/2018,1.3819
11/13/2018,1.3853
11/12/2018,1.3941
11/9/2018,1.3841
11/8/2018,1.378
11/7/2018,1.3743
11/6/2018,1.3799
11/5/2018,1.3867
11/2/2018,1.389
11/1/2018,1.3878
10/31/2018,1.4137
10/30/2018,1.4073
10/29/2018,1.4175
10/26/2018,1.4092
10/25/2018,1.4122
10/24/2018,1.4166
10/23/2018,1.4112
10/22/2018,1.4122
10/19/2018,1.4043
10/18/2018,1.4085
10/17/2018,1.4067
10/16/2018,1.4004
10/15/2018,1.4023
10/12/2018,1.4047
10/11/2018,1.4037
10/10/2018,1.4159
10/9/2018,1.4079
10/8/2018,1.4127
10/5/2018,1.418
10/4/2018,1.4136
10/3/2018,1.4076
10/2/2018,1.3911
10/1/2018,1.3842
9/28/2018,1.383
9/27/2018,1.3875
9/26/2018,1.3777
9/25/2018,1.3792
9/24/2018,1.3787
9/21/2018,1.3715
9/20/2018,1.3715
9/19/2018,1.3766
9/18/2018,1.3851
9/17/2018,1.3923
9/14/2018,1.3981
9/13/2018,1.3902
9/12/2018,1.3949
9/11/2018,1.4036
9/10/2018,1.4055
9/7/2018,1.4071
9/6/2018,1.3893
9/5/2018,1.3903
